Timestamp_Sec, Timestamp_Nsec, Formatted_Time, Radar_Epoch_Time, Obj_ID, Dist_X, Dist_Y, RCS, Range, Vectorsize, Dynamicproperty, Orientation, Objectsize, objectscore
1203,614715140,2024-02-02 11:52:11.614715140,1706854931614715140,2,6.33564,-0.347911,-4.75173,6.34519,5,1,0,0.0989125,1
1203,614715140,2024-02-02 11:52:11.614715140,1706854931614715140,2,6.33564,-0.347911,-4.75173,6.34519,6,1,0,0.393054,1
1203,689924680,2024-02-02 11:52:11.689924680,1706854931689924680,1,7.77306,-0.613422,-4.29395,7.79723,1,1,0,0.995915,1
1203,689924680,2024-02-02 11:52:11.689924680,1706854931689924680,2,6.2624,-0.265511,-4.81582,6.26802,2,1,0,0.997438,1
1203,689924680,2024-02-02 11:52:11.689924680,1706854931689924680,2,6.2624,-0.265511,-4.81582,6.26802,3,1,0,0.393054,1
1203,764645000,2024-02-02 11:52:11.764645000,1706854931764645000,1,7.75475,-0.585955,-4.37635,7.77686,1,1,0,0.995915,1
1203,764645000,2024-02-02 11:52:11.764645000,1706854931764645000,2,6.28987,-0.265511,-4.82192,6.29547,2,1,0,0.997437,1
1203,764645000,2024-02-02 11:52:11.764645000,1706854931764645000,2,6.28987,-0.265511,-4.82192,6.29547,3,1,0,0.0649055,1
1203,764645000,2024-02-02 11:52:11.764645000,1706854931764645000,2,6.28987,-0.265511,-4.82192,6.29547,4,1,0,0.0292919,1
1203,764645000,2024-02-02 11:52:11.764645000,1706854931764645000,2,6.28987,-0.265511,-4.82192,6.29547,5,1,0,0.11334,1
1203,764645000,2024-02-02 11:52:11.764645000,1706854931764645000,2,6.28987,-0.265511,-4.82192,6.29547,6,1,0,0.063406,1
1203,764645000,2024-02-02 11:52:11.764645000,1706854931764645000,2,6.28987,-0.265511,-4.82192,6.29547,7,1,0,0.395229,1
1203,840304040,2024-02-02 11:52:11.840304040,1706854931840304040,1,7.73644,-0.558489,-4.39467,7.75657,1,1,0,0.995915,1
1203,840304040,2024-02-02 11:52:11.840304040,1706854931840304040,2,6.25324,-0.201422,-4.77004,6.25649,2,1,0,0.995915,1
1203,840304040,2024-02-02 11:52:11.840304040,1706854931840304040,2,6.25324,-0.201422,-4.77004,6.25649,3,1,0,0.395229,1
1203,914635960,2024-02-02 11:52:12.914635960,1706854932914635960,1,7.69066,-0.549333,-4.31532,7.71026,1,1,0,0.998963,1
1203,914635960,2024-02-02 11:52:12.914635960,1706854932914635960,2,6.23493,-0.201422,-4.63576,6.23818,2,1,0,0.995915,1
1203,914635960,2024-02-02 11:52:12.914635960,1706854932914635960,2,6.23493,-0.201422,-4.63576,6.23818,3,1,0,0.0469834,1
1203,914635960,2024-02-02 11:52:12.914635960,1706854932914635960,2,6.23493,-0.201422,-4.63576,6.23818,4,1,0,0.402021,1
1203,988555260,2024-02-02 11:52:12.988555260,1706854932988555260,1,7.64489,-0.521867,-4.30006,7.66268,1,1,0,0.995915,1
1203,988555260,2024-02-02 11:52:12.988555260,1706854932988555260,2,6.21662,-0.201422,-4.57472,6.21988,2,1,0,0.997437,1
1203,988555260,2024-02-02 11:52:12.988555260,1706854932988555260,2,6.21662,-0.201422,-4.57472,6.21988,3,1,0,0.018907,1
1204,60479880,2024-02-02 11:52:12.60479880,1706854932060479880,1,7.6632,-0.521867,-4.40992,7.68095,1,1,0,0.995915,1
1204,60479880,2024-02-02 11:52:12.60479880,1706854932060479880,2,6.19831,-0.173956,-4.64187,6.20075,2,1,0,0.997437,1
1204,60479880,2024-02-02 11:52:12.60479880,1706854932060479880,2,6.19831,-0.173956,-4.64187,6.20075,3,1,0,0.0500244,1
1204,60479880,2024-02-02 11:52:12.60479880,1706854932060479880,2,6.19831,-0.173956,-4.64187,6.20075,4,1,0,0.119356,1
1204,60479880,2024-02-02 11:52:12.60479880,1706854932060479880,2,6.19831,-0.173956,-4.64187,6.20075,5,1,0,0.120087,1
1204,143624000,2024-02-02 11:52:12.143624000,1706854932143624000,1,7.6632,-0.521867,-4.2787,7.68095,1,1,0,0.991346,1
1204,143624000,2024-02-02 11:52:12.143624000,1706854932143624000,2,6.18915,-0.183111,-4.47401,6.19186,2,1,0,0.995915,1
1204,217425500,2024-02-02 11:52:12.217425500,1706854932217425500,1,7.61742,-0.485244,-4.13831,7.63286,1,1,0,0.997438,1
1204,217425500,2024-02-02 11:52:12.217425500,1706854932217425500,2,6.18915,-0.210578,-4.30616,6.19273,2,1,0,0.995915,1
1204,290696640,2024-02-02 11:52:12.290696640,1706854932290696640,1,7.58995,-0.457778,-4.17798,7.60375,1,1,0,0.998963,1
1204,290696640,2024-02-02 11:52:12.290696640,1706854932290696640,2,6.20746,-0.210578,-4.32142,6.21104,2,1,0,0.997438,1
1204,290696640,2024-02-02 11:52:12.290696640,1706854932290696640,2,6.20746,-0.210578,-4.32142,6.21104,3,1,0,0.0236268,1
1204,365645180,2024-02-02 11:52:12.365645180,1706854932365645180,1,7.55333,-0.430311,-4.19019,7.56558,1,1,0,0.998963,1
1204,365645180,2024-02-02 11:52:12.365645180,1706854932365645180,2,6.19831,-0.210578,-4.31227,6.20189,2,1,0,0.997438,1
1204,439454520,2024-02-02 11:52:12.439454520,1706854932439454520,0,12.3875,-3.43333,-7.68151,12.8545,1,1,0,0.114567,0.26
1204,439454520,2024-02-02 11:52:12.439454520,1706854932439454520,1,7.51671,-0.439467,-4.43739,7.52954,2,1,0,0.997438,1
1204,439454520,2024-02-02 11:52:12.439454520,1706854932439454520,2,6.19831,-0.201422,-4.33973,6.20158,3,1,0,0.998963,1
1204,513332460,2024-02-02 11:52:12.513332460,1706854932513332460,1,7.416,-0.421155,-4.35499,7.42795,1,1,0,0.997437,1
1204,513332460,2024-02-02 11:52:12.513332460,1706854932513332460,2,6.22578,-0.173956,-4.27259,6.22821,2,1,0,0.995915,1
1204,513332460,2024-02-02 11:52:12.513332460,1706854932513332460,2,6.22578,-0.173956,-4.27259,6.22821,3,1,0,0.0745383,1
1204,588784160,2024-02-02 11:52:12.588784160,1706854932588784160,1,7.36106,-0.421155,-4.24818,7.3731,1,1,0,0.995915,1
1204,588784160,2024-02-02 11:52:12.588784160,1706854932588784160,2,6.23493,-0.1648,-4.17798,6.23711,2,1,0,0.997438,1
1204,588784160,2024-02-02 11:52:12.588784160,1706854932588784160,2,6.23493,-0.1648,-4.17798,6.23711,3,1,0,0.0272428,1
1204,662144140,2024-02-02 11:52:12.662144140,1706854932662144140,1,7.26951,-0.393689,-3.95825,7.28016,1,1,0,0.995915,1
1204,662144140,2024-02-02 11:52:12.662144140,1706854932662144140,2,6.21662,-0.173956,-3.89721,6.21905,2,1,0,0.997438,1
1204,662144140,2024-02-02 11:52:12.662144140,1706854932662144140,2,6.21662,-0.173956,-3.89721,6.21905,3,1,0,0.0196894,1
1204,735960500,2024-02-02 11:52:12.735960500,1706854932735960500,1,7.21458,-0.393689,-3.64086,7.22531,1,1,0,0.997438,1
1204,735960500,2024-02-02 11:52:12.735960500,1706854932735960500,2,6.19831,-0.155644,-3.58898,6.20026,2,1,0,0.995915,1
1204,810000640,2024-02-02 11:52:12.810000640,1706854932810000640,1,7.09555,-0.393689,-3.3021,7.10647,1,1,0,0.995915,1
1204,810000640,2024-02-02 11:52:12.810000640,1706854932810000640,2,6.17084,-0.173956,-3.25938,6.17329,2,1,0,0.997438,1
1204,810000640,2024-02-02 11:52:12.810000640,1706854932810000640,2,6.17084,-0.173956,-3.25938,6.17329,3,1,0,0.0109204,1
1204,889955220,2024-02-02 11:52:13.889955220,1706854933889955220,1,6.8392,-0.357067,-3.12204,6.84851,1,1,0,0.997438,1
1204,889955220,2024-02-02 11:52:13.889955220,1706854933889955220,1,6.8392,-0.357067,-3.12204,6.84851,2,1,0,0.260805,1
1204,964042740,2024-02-02 11:52:13.964042740,1706854933964042740,1,6.77511,-0.375378,-2.92673,6.7855,1,1,0,0.998963,1
1204,964042740,2024-02-02 11:52:13.964042740,1706854933964042740,1,6.77511,-0.375378,-2.92673,6.7855,2,1,0,0.0734672,1
1205,38272040,2024-02-02 11:52:13.38272040,1706854933038272040,1,6.71102,-0.393689,-2.70394,6.72256,1,1,0,0.995915,1
1205,38272040,2024-02-02 11:52:13.38272040,1706854933038272040,1,6.71102,-0.393689,-2.70394,6.72256,2,1,0,0.137402,1
1205,38272040,2024-02-02 11:52:13.38272040,1706854933038272040,1,6.71102,-0.393689,-2.70394,6.72256,3,1,0,0.362456,1
1205,112833400,2024-02-02 11:52:13.112833400,1706854933112833400,1,6.63778,-0.430311,-2.48115,6.65171,1,1,0,0.998963,1
1205,112833400,2024-02-02 11:52:13.112833400,1706854933112833400,1,6.63778,-0.430311,-2.48115,6.65171,2,1,0,0.0773534,1
1205,112833400,2024-02-02 11:52:13.112833400,1706854933112833400,1,6.63778,-0.430311,-2.48115,6.65171,3,1,0,0.0173167,1
1205,186901560,2024-02-02 11:52:13.186901560,1706854933186901560,1,6.58284,-0.521867,-2.4659,6.6035,1,1,0,0.998963,1
1205,186901560,2024-02-02 11:52:13.186901560,1706854933186901560,1,6.58284,-0.521867,-2.4659,6.6035,2,1,0,0.0132675,1
1205,264068340,2024-02-02 11:52:13.264068340,1706854933264068340,1,6.57369,-0.521867,-2.68563,6.59437,1,1,0,0.986778,1
1205,264068340,2024-02-02 11:52:13.264068340,1706854933264068340,1,6.57369,-0.521867,-2.68563,6.59437,2,1,0,0.106059,1
1205,264068340,2024-02-02 11:52:13.264068340,1706854933264068340,1,6.57369,-0.521867,-2.68563,6.59437,3,1,0,0.042904,1
1205,337977260,2024-02-02 11:52:13.337977260,1706854933337977260,1,6.57369,-0.521867,-2.61238,6.59437,1,1,0,0.997438,0.99
1205,337977260,2024-02-02 11:52:13.337977260,1706854933337977260,1,6.57369,-0.521867,-2.61238,6.59437,2,1,0,0.0496099,0.99
1205,337977260,2024-02-02 11:52:13.337977260,1706854933337977260,1,6.57369,-0.521867,-2.61238,6.59437,3,1,0,0.0108832,0.99
1205,410896300,2024-02-02 11:52:13.410896300,1706854933410896300,1,6.52791,-0.531022,-2.60018,6.54947,1,1,0,0.997438,1
1205,410896300,2024-02-02 11:52:13.410896300,1706854933410896300,1,6.52791,-0.531022,-2.60018,6.54947,2,1,0,0.0912007,1
1205,485847160,2024-02-02 11:52:13.485847160,1706854933485847160,1,6.52791,-0.531022,-2.81381,6.54947,1,1,0,0.997438,0.99
1205,485847160,2024-02-02 11:52:13.485847160,1706854933485847160,1,6.52791,-0.531022,-2.81381,6.54947,2,1,0,0.113749,0.99
1205,559880060,2024-02-02 11:52:13.559880060,1706854933559880060,1,6.44551,-0.521867,-2.9603,6.4666,1,1,0,0.998963,0.99
1205,559880060,2024-02-02 11:52:13.559880060,1706854933559880060,1,6.44551,-0.521867,-2.9603,6.4666,2,1,0,0.0103383,0.99
1205,634128440,2024-02-02 11:52:13.634128440,1706854933634128440,1,6.39058,-0.439467,-2.86264,6.40567,1,1,0,0.997438,1
1205,634128440,2024-02-02 11:52:13.634128440,1706854933634128440,1,6.39058,-0.439467,-2.86264,6.40567,2,1,0,0.114718,1
1205,634128440,2024-02-02 11:52:13.634128440,1706854933634128440,1,6.39058,-0.439467,-2.86264,6.40567,3,1,0,0.171565,1
1205,634128440,2024-02-02 11:52:13.634128440,1706854933634128440,1,6.39058,-0.439467,-2.86264,6.40567,4,1,0,0.0698488,1
1205,709534160,2024-02-02 11:52:13.709534160,1706854933709534160,1,6.35395,-0.430311,-2.85043,6.36851,1,1,0,0.995915,1
1205,709534160,2024-02-02 11:52:13.709534160,1706854933709534160,1,6.35395,-0.430311,-2.85043,6.36851,2,1,0,0.0228677,1
1205,709534160,2024-02-02 11:52:13.709534160,1706854933709534160,1,6.35395,-0.430311,-2.85043,6.36851,3,1,0,0.406296,1
