timestamp,velocity,acceleration
1706169543163,0.0,7.017000000000001
1706169543164,0.0,0.032
1706169543164,0.0,0.047
1706169543164,0.0,0.062
1706169543165,0.0,0.077
1706169543165,0.0,0.092
1706169543165,0.0,0.107
1706169543165,0.0,0.122
1706169543165,0.0,0.13699999999999998
1706169543170,0.0,0.152
1706169543180,0.0,0.16699999999999998
1706169543190,0.0,0.182
1706169543200,0.0,0.19699999999999998
1706169543210,0.0,0.212
1706169543220,0.0,0.22699999999999998
1706169543230,0.0,0.242
1706169543240,0.0,0.257
1706169543250,0.0,0.27199999999999996
1706169543260,0.0,0.287
1706169543270,0.0,0.302
1706169543280,0.0,0.31699999999999995
1706169543290,0.0,0.33199999999999996
1706169543300,0.0,0.347
1706169543310,0.0,0.362
1706169543320,0.0,0.37699999999999995
1706169543330,0.0,0.39199999999999996
1706169543340,0.0,0.407
1706169543350,0.0,0.422
1706169543360,0.0,0.43699999999999994
1706169543370,0.0,0.45199999999999996
1706169543380,0.0,0.46699999999999997
1706169543390,0.0,0.482
1706169543400,0.0,0.49699999999999994
1706169543410,0.0,0.512
1706169543420,0.0,0.5269999999999999
1706169543430,0.0,0.5419999999999999
1706169543440,0.0,0.5569999999999999
1706169543450,0.0,0.572
1706169543460,0.0,0.587
1706169543470,0.0,0.602
1706169543480,0.0,0.617
1706169543490,0.0,0.6319999999999999
1706169543500,0.0,0.6469999999999999
1706169543510,0.0,0.6619999999999999
1706169543520,0.0,0.6769999999999999
1706169543530,0.0,0.692
1706169543540,0.0,0.707
1706169543550,0.0,0.722
1706169543560,0.0,0.737
1706169543570,0.0,0.7519999999999999
1706169543580,0.0,0.7669999999999999
1706169543590,0.0,0.7819999999999999
1706169543600,0.0,0.7969999999999999
1706169543610,0.0,0.8119999999999999
1706169543620,0.0,0.827
1706169543630,0.0,0.842
1706169543640,0.0,0.8569999999999999
1706169543650,0.0,0.8719999999999999
1706169543660,0.0,0.8869999999999999
1706169543670,0.0,0.9019999999999999
1706169543680,0.0,0.9169999999999999
1706169543690,0.0,0.9319999999999999
1706169543700,0.0,0.947
1706169543710,0.0,0.962
1706169543720,0.0,0.9769999999999999
1706169543730,0.0,0.9919999999999999
1706169543740,0.0,1.007
1706169543750,0.0,1.022
1706169543760,0.0,1.037
1706169543770,0.0,1.0519999999999998
1706169543780,0.0,1.067
1706169543790,0.0,1.0819999999999999
1706169543800,0.0,1.097
1706169543810,0.0,1.1119999999999999
1706169543820,0.0,1.127
1706169543830,0.0,1.142
1706169543840,0.0,1.1569999999999998
1706169543850,0.0,1.172
1706169543860,0.0,1.1869999999999998
1706169543870,0.0,1.202
1706169543880,0.0,1.2169999999999999
1706169543890,0.0,1.232
1706169543900,0.0,1.2469999999999999
1706169543910,0.0,1.2619999999999998
1706169543920,0.0,1.277
1706169543930,0.0,1.2919999999999998
1706169543940,0.0,1.307
1706169543950,0.0,1.3219999999999998
1706169543960,0.0,1.337
1706169543970,0.0,1.3519999999999999
1706169543980,0.0,1.367
1706169543990,0.0,1.382
1706169544000,0.0,1.3969999999999998
1706169544010,0.0,1.412
1706169544020,0.0,1.4269999999999998
1706169544030,0.0,1.442
1706169544040,0.0,1.4569999999999999
1706169544050,0.0,1.472
1706169544060,0.0,1.4869999999999999
1706169544070,0.0,1.5019999999999998
